iter	RMSE
468	98723.15231
469	98646.7168
470	98578.2152
471	98440.52194
472	98400.11633
473	98350.82206
474	98294.57539
475	98209.72781
476	98151.63616
477	98104.11132
478	98067.299
479	98032.1703
480	97958.58765
481	97870.53026
482	97828.15166
483	97801.00586
484	97702.25222
485	97615.1572
486	97532.89964
487	97483.64508
488	97421.22416
489	97382.08849
490	97345.53764
491	97279.78281
492	97220.41963
493	97139.44748
494	97080.54037
495	97072.03191
496	97010.35133
497	96958.67545
498	96872.74984
499	96801.17888
500	96762.69386
501	96710.55839
502	96647.13053
503	96607.6587
504	96544.26514
505	96487.81863
506	96434.36967
507	96377.23507
508	96327.83226
509	96291.32417
510	96204.88523
511	96177.80341
512	96126.44418
513	96066.44985
514	95989.97518
515	95876.14277
516	95827.73985
517	95751.61821
518	95699.21969
519	95651.46479
520	95599.60172
521	95482.30764
522	95428.25554
523	95368.49854
524	95336.49702
525	95308.06618
526	95226.33003
527	95187.72156
528	95151.20874
529	95094.0299
530	95037.23583
531	94980.75004
532	94906.45002
533	94861.94547
534	94787.29794
535	94700.03149
536	94674.54735
537	94640.75975
538	94568.95908
539	94524.85119
540	94450.87677
541	94384.1999
542	94300.02101
543	94252.81899
544	94224.97642
545	94142.83744
546	94077.63931
547	94018.16766
548	93952.47062
549	93917.28323
550	93871.94267
551	93790.60113
552	93702.12653
553	93659.22703
554	93609.14622
555	93543.7431
556	93474.34663
557	93402.50267
558	93305.48677
559	93201.47787
560	93177.96133
561	93153.78527
562	93096.1166
563	93044.44503
564	92991.70133
565	92863.95198
566	92841.93985
567	92776.90649
568	92754.21959
569	92724.31823
570	92690.1454
571	92668.5136
572	92572.32381
573	92526.46378
574	92438.28896
575	92378.98719
576	92366.30677
577	92299.88515
578	92271.34804
579	92190.59798
580	92118.29567
581	92063.95134
582	92032.20823
583	91991.04736
584	91953.99886
585	91889.71045
586	91869.28955
587	91805.98964
588	91764.26332
589	91691.56124
590	91656.79992
591	91629.34674
592	91601.04986
593	91560.88284
594	91521.06978
595	91500.28517
596	91440.43133
597	91409.24562
598	91345.52432
599	91311.73165
600	91292.60758
601	91233.5124
602	91196.24803
603	91159.41313
604	91104.34624
605	91044.26297
606	90992.8531
607	90936.12453
608	90901.936
609	90873.4562
610	90852.38717
611	90824.54299
612	90760.37568
613	90699.90494
614	90673.05419
615	90622.84089
616	90576.61395
617	90508.62072
618	90490.14771
619	90475.46726
620	90461.64341
621	90386.02914
622	90329.83536
623	90306.55791
624	90251.92874
625	90187.19571
626	90128.15589
627	90091.97211
628	90010.68253
629	89977.40279
630	89920.71835
631	89896.22417
632	89879.20123
633	89855.8029
634	89816.1868
635	89774.54015
636	89737.57361
637	89690.08685
638	89649.2723
639	89612.49809
640	89554.45995
641	89515.52294
642	89455.78325
643	89381.63933
644	89362.13357
645	89345.38678
646	89294.77565
647	89236.27084
648	89210.86303
649	89162.17763
650	89120.05077
651	89066.87699
652	89021.36154
653	89003.35704
654	88952.90228
655	88902.37927
656	88856.90057
657	88832.47711
658	88787.5034
659	88749.82566
660	88728.42569
661	88700.30188
662	88668.18361
663	88637.15967
664	88586.85499
665	88512.56679
666	88471.88372
667	88451.25942
668	88417.86479
669	88392.15556
670	88336.70394
671	88280.19621
672	88239.48696
673	88170.42239
674	88121.86585
675	88077.06573
676	88055.98506
677	88029.08996
678	88009.59297
679	87972.98759
680	87944.55215
681	87892.8543
682	87873.08771
683	87860.39326
684	87810.50992
685	87798.41046
686	87779.59898
687	87721.42619
688	87676.76788
689	87643.35822
690	87586.69511
691	87562.77551
692	87497.75162
693	87446.66351
694	87402.21895
695	87360.66758
696	87330.60163
697	87309.06614
698	87257.92147
699	87222.51678
700	87173.96194
701	87118.07127
702	87042.44511
703	86986.04462
704	86924.50001
705	86901.69303
706	86852.61371
707	86813.09499
708	86769.96118
709	86726.15531
710	86687.28601
711	86612.95404
712	86574.6949
713	86532.38917
714	86496.56028
715	86454.85465
716	86399.16399
717	86373.17521
718	86326.50895
719	86298.52377
720	86261.70716
721	86230.06834
722	86195.63639
723	86166.85248
724	86121.09923
725	86083.97981
726	86044.46595
727	85999.63912
728	85951.47349
729	85918.16308
730	85872.1414
731	85860.07153
732	85800.78954
733	85775.71226
734	85720.37768
735	85703.07004
736	85657.16875
737	85645.97119
738	85630.03853
739	85574.67092
740	85548.53685
741	85511.25139
742	85484.49965
743	85458.00894
744	85427.7827
745	85409.48033
746	85388.89376
747	85341.44768
748	85308.10274
749	85253.42295
750	85211.95645
751	85172.87849
752	85108.46086
753	85071.76879
754	85006.67828
755	84976.17989
756	84949.98378
757	84925.31837
758	84870.41181
759	84822.95012
760	84781.91253
761	84746.26703
762	84703.60177
763	84647.39619
764	84613.31244
765	84590.92174
766	84570.82559
767	84541.43353
768	84511.11656
769	84453.24211
770	84395.57177
771	84366.12709
772	84328.64527
773	84308.59783
774	84260.66447
775	84190.95327
776	84178.18295
777	84136.81525
778	84112.16746
779	84082.04136
780	84038.76592
781	84018.98245
782	83982.88385
783	83955.73924
784	83943.69383
785	83891.19305
786	83868.93226
787	83845.7871
788	83813.35049
789	83738.19465
790	83698.98762
791	83679.40248
792	83646.21999
793	83616.71361
794	83593.00167
795	83578.88725
796	83531.5821
797	83472.90959
798	83439.5065
799	83408.13842
800	83365.57609
801	83338.43269
802	83307.91837
803	83288.30922
804	83261.00156
805	83229.38833
806	83218.97312
807	83179.97581
808	83164.33915
809	83134.64533
810	83098.33307
811	83043.39727
812	83015.52062
813	82973.70867
814	82945.09794
815	82925.74963
816	82868.67647
817	82830.07369
818	82798.89996
819	82756.63986
820	82706.36053
821	82684.95757
822	82642.3729
823	82610.11973
824	82563.68084
825	82488.24944
826	82470.56244
827	82447.42597
828	82413.89852
829	82380.45284
830	82334.44196
831	82321.97806
832	82303.71973
833	82265.22179
834	82245.54382
835	82225.06662
836	82193.0952
837	82136.51263
838	82115.47616
839	82092.08961
840	82076.62827
841	82048.174
842	82012.95974
843	81980.08456
844	81958.82452
845	81927.46446
846	81907.61712
847	81887.93787
848	81842.15888
849	81810.4657
850	81757.02714
851	81730.16656
852	81710.22246
853	81689.55874
854	81670.90074
855	81654.06525
856	81601.6938
857	81575.76354
858	81552.25321
859	81535.20194
860	81528.15878
861	81455.06621
862	81406.29389
863	81358.9631
864	81321.1347
865	81288.55468
866	81252.87337
867	81207.38245
868	81180.13815
869	81133.80493
870	81118.41237
871	81078.59543
872	81065.76445
873	81045.74487
874	81023.45085
875	80978.7168
876	80954.37896
877	80923.47405
878	80881.91854
879	80840.60386
880	80823.63701
881	80790.11535
882	80778.61198
883	80743.3779
884	80689.97182
885	80660.46592
886	80642.11932
887	80609.06547
888	80573.20628
889	80563.46964
890	80524.31209
891	80493.59686
892	80475.23042
893	80440.23069
894	80423.48803
895	80383.46298
896	80341.63776
897	80302.38876
898	80271.59513
899	80228.81936
900	80214.09224
901	80173.10253
902	80158.71085
903	80120.42808
904	80074.73975
905	80054.88344
906	80010.93716
907	79990.86019
908	79941.85272
909	79899.42381
910	79869.45497
911	79845.80156
912	79808.9743
913	79769.79076
914	79740.6481
915	79696.61237
916	79670.1113
917	79638.04421
918	79613.09572
919	79577.74922
920	79561.90289
921	79520.48314
922	79475.34636
923	79445.50876
924	79418.88396
925	79369.56763
926	79351.34368
927	79302.31272
928	79275.4814
929	79232.98565
930	79217.59675
931	79176.29616
932	79158.13764
933	79129.12073
934	79101.84687
935	79076.28794
936	79043.68468
937	79021.46892
938	78986.64213
939	78931.97637
940	78872.79296
941	78848.01379
942	78830.93257
943	78812.89671
944	78797.96208
945	78763.78484
946	78752.75562
947	78732.49326
948	78692.23071
949	78645.86942
950	78638.30243
951	78612.86101
952	78591.40906
953	78533.9204
954	78508.64675
955	78477.25808
956	78458.74041
957	78419.80017
958	78385.21294
959	78350.11697
960	78311.70962
961	78278.61045
962	78258.83079
963	78237.83998
964	78221.30208
965	78208.36855
966	78187.60098
967	78154.93705
968	78133.71167
969	78118.10044
970	78083.74348
971	78056.474
972	78023.45692
973	77995.15021
974	77977.2761
975	77969.70527
976	77934.85608
977	77918.0031
978	77874.84605
979	77854.33513
980	77823.58921
981	77806.44916
982	77774.45253
983	77756.2276
984	77736.36839
985	77685.34615
986	77649.91602
987	77628.23311
988	77594.39669
989	77568.113
990	77541.9341
991	77526.92159
992	77506.90158
993	77497.82565
994	77486.74961
995	77453.16048
996	77435.3482
997	77417.37618
998	77399.38568
999	77365.38427
